metric,value
counts_by_cpc.A01B39/20,7
counts_by_cpc.A01B39/22,17
counts_by_cpc.A01B39/26,6
counts_by_cpc.A01B39/28,6
counts_by_cpc.A01B41/00,9
counts_by_cpc.A01B41/02,1
counts_by_cpc.A01B41/04,6
counts_by_cpc.A01B41/06,5
counts_by_cpc.A01B43/00,48
counts_by_cpc.A01B43/005,1
counts_by_cpc.A01B45/00,14
counts_by_cpc.A01B45/02,3
counts_by_cpc.A01B45/023,2
counts_by_cpc.A01B45/026,1
counts_by_cpc.A01B45/04,9
counts_by_cpc.A01B45/045,19
counts_by_cpc.A01B47/00,5
counts_by_cpc.A01B49/00,5
counts_by_cpc.A01B49/02,9
counts_by_cpc.A01B49/022,14
counts_by_cpc.A01B49/025,1
counts_by_cpc.A01B49/027,9
counts_by_cpc.A01B49/04,62
counts_by_cpc.A01B49/06,70
counts_by_cpc.A01B49/065,25
counts_by_cpc.A01B5/08,1
counts_by_cpc.A01B5/16,9
counts_by_cpc.A01B51/00,60
counts_by_cpc.A01B51/02,65
counts_by_cpc.A01B51/023,21
counts_by_cpc.A01B51/026,69
counts_by_cpc.A01B51/04,18
counts_by_cpc.A01B59/00,23
counts_by_cpc.A01B59/002,45
counts_by_cpc.A01B59/004,8
counts_by_cpc.A01B59/006,42
counts_by_cpc.A01B59/008,24
counts_by_cpc.A01B59/04,11
counts_by_cpc.A01B59/042,25
counts_by_cpc.A01B59/043,23
counts_by_cpc.A01B59/048,22
counts_by_cpc.A01B59/06,26
counts_by_cpc.A01B59/061,8
counts_by_cpc.A01B59/062,19
counts_by_cpc.A01B59/063,3
counts_by_cpc.A01B59/064,25
counts_by_cpc.A01B59/066,10
counts_by_cpc.A01B59/067,2
counts_by_cpc.A01B59/068,14
counts_by_cpc.A01B59/069,1
counts_by_cpc.A01B61/00,1
counts_by_cpc.A01B61/04,4
counts_by_cpc.A01B61/042,6
counts_by_cpc.A01B61/046,10
counts_by_cpc.A01B63/00,23
counts_by_cpc.A01B63/002,14
counts_by_cpc.A01B63/004,5
counts_by_cpc.A01B63/006,4
counts_by_cpc.A01B63/008,23
counts_by_cpc.A01B63/02,13
counts_by_cpc.A01B63/023,3
counts_by_cpc.A01B63/026,3
counts_by_cpc.A01B63/04,3
counts_by_cpc.A01B63/045,2
counts_by_cpc.A01B63/06,2
counts_by_cpc.A01B63/10,37
counts_by_cpc.A01B63/1006,14
counts_by_cpc.A01B63/1013,6
