metric,value
counts_by_cpc.B23P15/006,51
counts_by_cpc.B23P15/007,8
counts_by_cpc.B23P15/008,3
counts_by_cpc.B23P15/02,33
counts_by_cpc.B23P15/04,60
counts_by_cpc.B23P15/06,2
counts_by_cpc.B23P15/065,1
counts_by_cpc.B23P15/10,10
counts_by_cpc.B23P15/12,6
counts_by_cpc.B23P15/14,64
counts_by_cpc.B23P15/16,7
counts_by_cpc.B23P15/18,11
counts_by_cpc.B23P15/20,43
counts_by_cpc.B23P15/22,1
counts_by_cpc.B23P15/24,31
counts_by_cpc.B23P15/243,2
counts_by_cpc.B23P15/246,10
counts_by_cpc.B23P15/26,131
counts_by_cpc.B23P15/28,64
counts_by_cpc.B23P15/32,25
counts_by_cpc.B23P15/34,2
counts_by_cpc.B23P15/36,1
counts_by_cpc.B23P15/40,7
counts_by_cpc.B23P15/406,2
counts_by_cpc.B23P17/00,58
counts_by_cpc.B23P17/02,30
counts_by_cpc.B23P17/04,29
counts_by_cpc.B23P19/00,3772
counts_by_cpc.B23P19/001,6285
counts_by_cpc.B23P19/002,989
counts_by_cpc.B23P19/003,364
counts_by_cpc.B23P19/004,818
counts_by_cpc.B23P19/005,298
counts_by_cpc.B23P19/006,1274
counts_by_cpc.B23P19/007,1884
counts_by_cpc.B23P19/008,383
counts_by_cpc.B23P19/02,2028
counts_by_cpc.B23P19/021,24
counts_by_cpc.B23P19/022,75
counts_by_cpc.B23P19/024,49
counts_by_cpc.B23P19/025,133
counts_by_cpc.B23P19/027,1311
counts_by_cpc.B23P19/033,95
counts_by_cpc.B23P19/04,4385
counts_by_cpc.B23P19/041,130
counts_by_cpc.B23P19/042,136
counts_by_cpc.B23P19/043,85
counts_by_cpc.B23P19/045,44
counts_by_cpc.B23P19/046,4
counts_by_cpc.B23P19/047,164
counts_by_cpc.B23P19/048,144
counts_by_cpc.B23P19/06,4042
counts_by_cpc.B23P19/061,43
counts_by_cpc.B23P19/062,606
counts_by_cpc.B23P19/063,9
counts_by_cpc.B23P19/064,76
counts_by_cpc.B23P19/065,189
counts_by_cpc.B23P19/066,528
counts_by_cpc.B23P19/067,269
counts_by_cpc.B23P19/068,21
counts_by_cpc.B23P19/069,426
counts_by_cpc.B23P19/08,158
counts_by_cpc.B23P19/082,9
counts_by_cpc.B23P19/084,345
counts_by_cpc.B23P19/086,20
counts_by_cpc.B23P19/088,32
counts_by_cpc.B23P19/10,1668
counts_by_cpc.B23P19/102,231
counts_by_cpc.B23P19/105,361
counts_by_cpc.B23P19/107,121
counts_by_cpc.B23P19/12,597
counts_by_cpc.B23P21/00,3444
counts_by_cpc.B23P21/002,981
counts_by_cpc.B23P21/004,2671
counts_by_cpc.B23P21/006,905
counts_by_cpc.B23P21/008,261
counts_by_cpc.B23P23/00,425
counts_by_cpc.B23P23/02,331
counts_by_cpc.B23P23/04,676
counts_by_cpc.B23P23/06,569
counts_by_cpc.B23P25/00,48
counts_by_cpc.B23P25/003,13
counts_by_cpc.B23P25/006,16
counts_by_cpc.B23P2700/00,221
counts_by_cpc.B23P2700/01,897
counts_by_cpc.B23P2700/02,94
counts_by_cpc.B23P2700/03,6
counts_by_cpc.B23P2700/04,12
counts_by_cpc.B23P2700/05,28
counts_by_cpc.B23P2700/06,17
counts_by_cpc.B23P2700/07,7
counts_by_cpc.B23P2700/08,55
counts_by_cpc.B23P2700/09,12
counts_by_cpc.B23P2700/10,27
counts_by_cpc.B23P2700/11,34
counts_by_cpc.B23P2700/12,27
counts_by_cpc.B23P2700/13,7
counts_by_cpc.B23P2700/14,26
counts_by_cpc.B23P2700/50,1523
counts_by_cpc.B23P5/00,19
counts_by_cpc.B23P6/00,486
counts_by_cpc.B23P6/002,243
counts_by_cpc.B23P6/005,31
counts_by_cpc.B23P6/007,99
counts_by_cpc.B23P6/02,14
counts_by_cpc.B23P6/04,39
counts_by_cpc.B23P6/045,18
counts_by_cpc.B23P9/00,8
counts_by_cpc.B23P9/02,35
counts_by_cpc.B23P9/025,29
counts_by_cpc.B23P9/04,12
counts_by_cpc.B23Q1/00,160
counts_by_cpc.B23Q1/0009,347
counts_by_cpc.B23Q1/0018,234
counts_by_cpc.B23Q1/0027,25
counts_by_cpc.B23Q1/0036,39
counts_by_cpc.B23Q1/0045,66
counts_by_cpc.B23Q1/0054,38
counts_by_cpc.B23Q1/0063,483
counts_by_cpc.B23Q1/0072,494
counts_by_cpc.B23Q1/0081,230
counts_by_cpc.B23Q1/009,224
counts_by_cpc.B23Q1/01,173
counts_by_cpc.B23Q1/012,325
counts_by_cpc.B23Q1/015,331
counts_by_cpc.B23Q1/017,113
counts_by_cpc.B23Q1/03,182
counts_by_cpc.B23Q1/032,341
counts_by_cpc.B23Q1/035,660
counts_by_cpc.B23Q1/037,371
counts_by_cpc.B23Q1/25,651
counts_by_cpc.B23Q1/26,377
counts_by_cpc.B23Q1/262,87
counts_by_cpc.B23Q1/265,17
counts_by_cpc.B23Q1/267,23
counts_by_cpc.B23Q1/28,401
counts_by_cpc.B23Q1/282,14
counts_by_cpc.B23Q1/285,21
counts_by_cpc.B23Q1/287,75
counts_by_cpc.B23Q1/30,26
counts_by_cpc.B23Q1/32,19
counts_by_cpc.B23Q1/34,152
counts_by_cpc.B23Q1/36,127
counts_by_cpc.B23Q1/38,166
counts_by_cpc.B23Q1/385,5
counts_by_cpc.B23Q1/40,125
counts_by_cpc.B23Q1/42,36
counts_by_cpc.B23Q1/44,138
counts_by_cpc.B23Q1/445,60
counts_by_cpc.B23Q1/46,16
counts_by_cpc.B23Q1/48,232
counts_by_cpc.B23Q1/4804,90
counts_by_cpc.B23Q1/4809,64
counts_by_cpc.B23Q1/4814,3
counts_by_cpc.B23Q1/4819,16
counts_by_cpc.B23Q1/4823,3
counts_by_cpc.B23Q1/4828,67
counts_by_cpc.B23Q1/4833,23
counts_by_cpc.B23Q1/4838,1
counts_by_cpc.B23Q1/4842,7
counts_by_cpc.B23Q1/4852,68
counts_by_cpc.B23Q1/4857,43
counts_by_cpc.B23Q1/4861,25
counts_by_cpc.B23Q1/4866,45
counts_by_cpc.B23Q1/4871,15
counts_by_cpc.B23Q1/4876,67
counts_by_cpc.B23Q1/488,46
counts_by_cpc.B23Q1/4885,36
counts_by_cpc.B23Q1/489,8
counts_by_cpc.B23Q1/50,98
counts_by_cpc.B23Q1/52,147
counts_by_cpc.B23Q1/522,62
counts_by_cpc.B23Q1/525,95
counts_by_cpc.B23Q1/527,50
counts_by_cpc.B23Q1/54,184
counts_by_cpc.B23Q1/5406,219
counts_by_cpc.B23Q1/5412,91
counts_by_cpc.B23Q1/5425,12
counts_by_cpc.B23Q1/5431,12
counts_by_cpc.B23Q1/5437,67
counts_by_cpc.B23Q1/5443,9
counts_by_cpc.B23Q1/545,156
counts_by_cpc.B23Q1/5456,83
counts_by_cpc.B23Q1/5462,888
counts_by_cpc.B23Q1/5468,102
counts_by_cpc.B23Q1/5475,48
counts_by_cpc.B23Q1/5481,124
counts_by_cpc.B23Q1/5487,3
counts_by_cpc.B23Q1/5493,9
counts_by_cpc.B23Q1/56,62
counts_by_cpc.B23Q1/58,270
counts_by_cpc.B23Q1/585,15
counts_by_cpc.B23Q1/60,59
counts_by_cpc.B23Q1/601,36
counts_by_cpc.B23Q1/603,2
counts_by_cpc.B23Q1/605,1
counts_by_cpc.B23Q1/606,11
counts_by_cpc.B23Q1/608,7
counts_by_cpc.B23Q1/62,46
counts_by_cpc.B23Q1/621,344
counts_by_cpc.B23Q1/623,65
counts_by_cpc.B23Q1/625,27
counts_by_cpc.B23Q1/626,238
counts_by_cpc.B23Q1/628,5
counts_by_cpc.B23Q1/64,50
counts_by_cpc.B23Q1/66,231
counts_by_cpc.B23Q1/68,6
counts_by_cpc.B23Q1/70,184
counts_by_cpc.B23Q1/706,23
counts_by_cpc.B23Q1/72,53
counts_by_cpc.B23Q1/74,27
counts_by_cpc.B23Q1/76,232
counts_by_cpc.B23Q1/763,39
counts_by_cpc.B23Q1/766,42
counts_by_cpc.B23Q11/00,450
counts_by_cpc.B23Q11/0003,40
counts_by_cpc.B23Q11/0007,21
counts_by_cpc.B23Q11/001,70
counts_by_cpc.B23Q11/0014,29
counts_by_cpc.B23Q11/0017,59
counts_by_cpc.B23Q11/0021,13
counts_by_cpc.B23Q11/0025,6
counts_by_cpc.B23Q11/0028,17
counts_by_cpc.B23Q11/0032,314
counts_by_cpc.B23Q11/0035,19
counts_by_cpc.B23Q11/0039,27
counts_by_cpc.B23Q11/0042,499
counts_by_cpc.B23Q11/0046,455
counts_by_cpc.B23Q11/005,344
counts_by_cpc.B23Q11/0053,129
counts_by_cpc.B23Q11/0057,430
counts_by_cpc.B23Q11/006,69
counts_by_cpc.B23Q11/0064,93
counts_by_cpc.B23Q11/0067,236
counts_by_cpc.B23Q11/0071,36
counts_by_cpc.B23Q11/0075,114
counts_by_cpc.B23Q11/0078,36
counts_by_cpc.B23Q11/0082,35
counts_by_cpc.B23Q11/0085,32
counts_by_cpc.B23Q11/0089,12
counts_by_cpc.B23Q11/0092,41
counts_by_cpc.B23Q11/0096,6
counts_by_cpc.B23Q11/02,38
counts_by_cpc.B23Q11/04,83
counts_by_cpc.B23Q11/06,22
counts_by_cpc.B23Q11/08,489
counts_by_cpc.B23Q11/0816,21
counts_by_cpc.B23Q11/0825,65
counts_by_cpc.B23Q11/0833,5
counts_by_cpc.B23Q11/085,32
counts_by_cpc.B23Q11/0858,4
counts_by_cpc.B23Q11/0866,16
counts_by_cpc.B23Q11/0875,14
counts_by_cpc.B23Q11/0883,12
counts_by_cpc.B23Q11/0891,240
counts_by_cpc.B23Q11/10,307
counts_by_cpc.B23Q11/1007,14
counts_by_cpc.B23Q11/1015,10
counts_by_cpc.B23Q11/1023,24
counts_by_cpc.B23Q11/103,5
counts_by_cpc.B23Q11/1038,5
counts_by_cpc.B23Q11/1046,18
counts_by_cpc.B23Q11/1053,9
counts_by_cpc.B23Q11/1061,6
counts_by_cpc.B23Q11/1069,185
counts_by_cpc.B23Q11/1076,54
counts_by_cpc.B23Q11/1084,75
counts_by_cpc.B23Q11/1092,1
counts_by_cpc.B23Q11/12,23
counts_by_cpc.B23Q11/121,35
counts_by_cpc.B23Q11/122,9
counts_by_cpc.B23Q11/123,3
counts_by_cpc.B23Q11/124,6
counts_by_cpc.B23Q11/125,3
counts_by_cpc.B23Q11/126,16
counts_by_cpc.B23Q11/127,37
counts_by_cpc.B23Q11/128,10
counts_by_cpc.B23Q11/14,3
counts_by_cpc.B23Q11/141,37
counts_by_cpc.B23Q11/143,26
counts_by_cpc.B23Q11/145,4
counts_by_cpc.B23Q11/146,4
counts_by_cpc.B23Q11/148,14
counts_by_cpc.B23Q13/00,28
counts_by_cpc.B23Q15/00,263
counts_by_cpc.B23Q15/007,40
counts_by_cpc.B23Q15/0075,22
counts_by_cpc.B23Q15/013,141
counts_by_cpc.B23Q15/02,19
counts_by_cpc.B23Q15/04,7
counts_by_cpc.B23Q15/06,23
counts_by_cpc.B23Q15/08,60
counts_by_cpc.B23Q15/10,3
counts_by_cpc.B23Q15/12,557
counts_by_cpc.B23Q15/14,63
counts_by_cpc.B23Q15/16,10
counts_by_cpc.B23Q15/18,80
counts_by_cpc.B23Q15/20,18
counts_by_cpc.B23Q15/22,320
counts_by_cpc.B23Q15/225,66
counts_by_cpc.B23Q15/24,70
counts_by_cpc.B23Q15/26,30
counts_by_cpc.B23Q15/28,13
counts_by_cpc.B23Q16/00,326
counts_by_cpc.B23Q16/001,399
counts_by_cpc.B23Q16/002,1
counts_by_cpc.B23Q16/003,3
counts_by_cpc.B23Q16/004,14
counts_by_cpc.B23Q16/005,55
counts_by_cpc.B23Q16/006,27
counts_by_cpc.B23Q16/007,7
counts_by_cpc.B23Q16/008,30
counts_by_cpc.B23Q16/02,74
counts_by_cpc.B23Q16/021,40
counts_by_cpc.B23Q16/022,6
counts_by_cpc.B23Q16/023,1
counts_by_cpc.B23Q16/024,24
counts_by_cpc.B23Q16/025,47
counts_by_cpc.B23Q16/026,33
counts_by_cpc.B23Q16/028,5
counts_by_cpc.B23Q16/04,79
counts_by_cpc.B23Q16/043,22
counts_by_cpc.B23Q16/046,7
counts_by_cpc.B23Q16/06,83
counts_by_cpc.B23Q16/065,66
counts_by_cpc.B23Q16/08,125
counts_by_cpc.B23Q16/083,14
counts_by_cpc.B23Q16/10,65
counts_by_cpc.B23Q16/102,44
counts_by_cpc.B23Q16/105,6
counts_by_cpc.B23Q16/107,33
counts_by_cpc.B23Q16/12,18
counts_by_cpc.B23Q17/00,437
counts_by_cpc.B23Q17/002,143
counts_by_cpc.B23Q17/003,169
counts_by_cpc.B23Q17/005,216
counts_by_cpc.B23Q17/006,194
counts_by_cpc.B23Q17/007,48
counts_by_cpc.B23Q17/008,10
counts_by_cpc.B23Q17/09,95
counts_by_cpc.B23Q17/0904,18
counts_by_cpc.B23Q17/0909,16
counts_by_cpc.B23Q17/0914,8
counts_by_cpc.B23Q17/0919,16
counts_by_cpc.B23Q17/0923,12
counts_by_cpc.B23Q17/0928,3
counts_by_cpc.B23Q17/0933,2
counts_by_cpc.B23Q17/0938,3
counts_by_cpc.B23Q17/0947,3
counts_by_cpc.B23Q17/0952,28
counts_by_cpc.B23Q17/0957,60
counts_by_cpc.B23Q17/0961,50
counts_by_cpc.B23Q17/0966,80
counts_by_cpc.B23Q17/0971,51
counts_by_cpc.B23Q17/0976,39
counts_by_cpc.B23Q17/098,9
counts_by_cpc.B23Q17/0985,52
counts_by_cpc.B23Q17/099,2
counts_by_cpc.B23Q17/0995,35
counts_by_cpc.B23Q17/10,25
counts_by_cpc.B23Q17/12,82
counts_by_cpc.B23Q17/20,424
counts_by_cpc.B23Q17/22,611
counts_by_cpc.B23Q17/2208,32
counts_by_cpc.B23Q17/2216,25
counts_by_cpc.B23Q17/2225,29
counts_by_cpc.B23Q17/2233,308
counts_by_cpc.B23Q17/2241,37
counts_by_cpc.B23Q17/225,21
counts_by_cpc.B23Q17/2258,8
counts_by_cpc.B23Q17/2266,23
counts_by_cpc.B23Q17/2275,18
counts_by_cpc.B23Q17/2283,3
counts_by_cpc.B23Q17/2291,43
counts_by_cpc.B23Q17/24,414
counts_by_cpc.B23Q17/2404,129
counts_by_cpc.B23Q17/2409,200
counts_by_cpc.B23Q17/2414,45
counts_by_cpc.B23Q17/2419,21
counts_by_cpc.B23Q17/2423,5
counts_by_cpc.B23Q17/2428,129
counts_by_cpc.B23Q17/2433,12
counts_by_cpc.B23Q17/2438,20
counts_by_cpc.B23Q17/2442,3
counts_by_cpc.B23Q17/2447,41
counts_by_cpc.B23Q17/2452,71
counts_by_cpc.B23Q17/2457,71
counts_by_cpc.B23Q17/2461,7
counts_by_cpc.B23Q17/2466,22
counts_by_cpc.B23Q17/2471,193
counts_by_cpc.B23Q17/2476,63
counts_by_cpc.B23Q17/248,19
counts_by_cpc.B23Q17/2485,23
counts_by_cpc.B23Q17/249,127
counts_by_cpc.B23Q17/2495,35
counts_by_cpc.B23Q2003/00,4
counts_by_cpc.B23Q2003/15527,95
counts_by_cpc.B23Q2003/15528,5
counts_by_cpc.B23Q2003/1553,13
counts_by_cpc.B23Q2003/15531,2
counts_by_cpc.B23Q2003/15532,32
counts_by_cpc.B23Q2003/15537,102
counts_by_cpc.B23Q2003/155404,124
counts_by_cpc.B23Q2003/155407,96
counts_by_cpc.B23Q2003/155411,60
counts_by_cpc.B23Q2003/155414,25
counts_by_cpc.B23Q2003/155418,181
counts_by_cpc.B23Q2003/155421,31
counts_by_cpc.B23Q2003/155425,3
counts_by_cpc.B23Q2003/155428,188
counts_by_cpc.B23Q2003/155432,19
counts_by_cpc.B23Q2003/155435,12
counts_by_cpc.B23Q2003/155439,73
counts_by_cpc.B23Q2003/155442,11
counts_by_cpc.B23Q2003/155446,83
counts_by_cpc.B23Q2003/155449,6
counts_by_cpc.B23Q2003/155453,43
counts_by_cpc.B23Q2003/155456,9
counts_by_cpc.B23Q2003/1558,58
counts_by_cpc.B23Q2003/15586,26
counts_by_cpc.B23Q2003/15593,1
counts_by_cpc.B23Q2005/005,3
counts_by_cpc.B23Q2011/0808,3
counts_by_cpc.B23Q2017/001,31
counts_by_cpc.B23Q2039/002,20
counts_by_cpc.B23Q2039/004,47
counts_by_cpc.B23Q2039/006,28
counts_by_cpc.B23Q2039/008,43
counts_by_cpc.B23Q2210/00,1
counts_by_cpc.B23Q2210/002,31
counts_by_cpc.B23Q2210/004,5
counts_by_cpc.B23Q2210/006,85
counts_by_cpc.B23Q2210/008,100
counts_by_cpc.B23Q2220/00,1
counts_by_cpc.B23Q2220/002,71
counts_by_cpc.B23Q2220/004,62
counts_by_cpc.B23Q2220/006,74
counts_by_cpc.B23Q2220/008,19
counts_by_cpc.B23Q2230/002,179
counts_by_cpc.B23Q2230/004,6
counts_by_cpc.B23Q2230/006,35
counts_by_cpc.B23Q2230/008,10
counts_by_cpc.B23Q2240/00,9
counts_by_cpc.B23Q2240/002,211
counts_by_cpc.B23Q2240/005,34
counts_by_cpc.B23Q2240/007,104
counts_by_cpc.B23Q23/00,27
counts_by_cpc.B23Q27/00,5
counts_by_cpc.B23Q27/003,1
counts_by_cpc.B23Q2701/01,4
counts_by_cpc.B23Q2701/02,7
counts_by_cpc.B23Q2701/025,1
counts_by_cpc.B23Q2703/00,18
counts_by_cpc.B23Q2703/02,447
counts_by_cpc.B23Q2703/04,921
counts_by_cpc.B23Q2703/06,23
counts_by_cpc.B23Q2703/08,102
counts_by_cpc.B23Q2703/10,630
counts_by_cpc.B23Q2703/105,3
counts_by_cpc.B23Q2703/12,230
counts_by_cpc.B23Q2705/005,1
counts_by_cpc.B23Q2705/02,2
counts_by_cpc.B23Q2705/04,4
counts_by_cpc.B23Q2705/064,2
counts_by_cpc.B23Q2705/08,1
counts_by_cpc.B23Q2705/10,9
counts_by_cpc.B23Q2705/102,12
counts_by_cpc.B23Q2705/104,3
counts_by_cpc.B23Q2705/108,1
counts_by_cpc.B23Q2705/12,38
counts_by_cpc.B23Q2705/122,1
counts_by_cpc.B23Q2705/14,19
counts_by_cpc.B23Q2705/145,2
counts_by_cpc.B23Q2705/16,1
counts_by_cpc.B23Q2705/165,1
counts_by_cpc.B23Q2705/182,2
counts_by_cpc.B23Q2705/20,1
counts_by_cpc.B23Q2705/22,1
counts_by_cpc.B23Q2707/00,18
counts_by_cpc.B23Q2707/003,146
counts_by_cpc.B23Q2707/006,2
counts_by_cpc.B23Q2707/02,66
counts_by_cpc.B23Q2707/025,12
counts_by_cpc.B23Q2707/04,143
counts_by_cpc.B23Q2707/05,23
counts_by_cpc.B23Q2707/06,2
counts_by_cpc.B23Q2707/16,49
counts_by_cpc.B23Q2709/00,1
counts_by_cpc.B23Q2716/00,19
counts_by_cpc.B23Q2716/02,2
counts_by_cpc.B23Q2716/04,1
counts_by_cpc.B23Q2716/06,3
counts_by_cpc.B23Q2716/08,40
counts_by_cpc.B23Q2717/00,98
counts_by_cpc.B23Q2717/003,29
counts_by_cpc.B23Q2717/006,31
counts_by_cpc.B23Q2735/002,1
counts_by_cpc.B23Q2735/085,2
counts_by_cpc.B23Q3/00,1404
counts_by_cpc.B23Q3/002,128
counts_by_cpc.B23Q3/005,32
counts_by_cpc.B23Q3/007,37
counts_by_cpc.B23Q3/02,364
counts_by_cpc.B23Q3/04,153
counts_by_cpc.B23Q3/06,3080
counts_by_cpc.B23Q3/061,426
counts_by_cpc.B23Q3/062,1949
counts_by_cpc.B23Q3/063,381
counts_by_cpc.B23Q3/064,474
counts_by_cpc.B23Q3/065,312
counts_by_cpc.B23Q3/066,368
counts_by_cpc.B23Q3/067,123
counts_by_cpc.B23Q3/068,33
counts_by_cpc.B23Q3/069,346
counts_by_cpc.B23Q3/08,1432
counts_by_cpc.B23Q3/082,934
counts_by_cpc.B23Q3/084,97
counts_by_cpc.B23Q3/086,199
counts_by_cpc.B23Q3/088,1144
counts_by_cpc.B23Q3/10,222
counts_by_cpc.B23Q3/101,8
counts_by_cpc.B23Q3/102,120
counts_by_cpc.B23Q3/103,530
counts_by_cpc.B23Q3/104,57
counts_by_cpc.B23Q3/105,44
counts_by_cpc.B23Q3/106,60
counts_by_cpc.B23Q3/107,35
counts_by_cpc.B23Q3/108,62
counts_by_cpc.B23Q3/12,320
counts_by_cpc.B23Q3/14,46
counts_by_cpc.B23Q3/15,392
counts_by_cpc.B23Q3/152,89
counts_by_cpc.B23Q3/154,275
counts_by_cpc.B23Q3/1543,537
counts_by_cpc.B23Q3/1546,751
counts_by_cpc.B23Q3/155,332
counts_by_cpc.B23Q3/15503,49
counts_by_cpc.B23Q3/15506,194
counts_by_cpc.B23Q3/15513,187
counts_by_cpc.B23Q3/1552,73
counts_by_cpc.B23Q3/15526,186
counts_by_cpc.B23Q3/15533,55
counts_by_cpc.B23Q3/15534,59
counts_by_cpc.B23Q3/15536,183
counts_by_cpc.B23Q3/15539,147
counts_by_cpc.B23Q3/1554,441
counts_by_cpc.B23Q3/15546,103
counts_by_cpc.B23Q3/15553,143
counts_by_cpc.B23Q3/1556,64
counts_by_cpc.B23Q3/15566,97
counts_by_cpc.B23Q3/15573,97
counts_by_cpc.B23Q3/157,121
counts_by_cpc.B23Q3/15706,203
counts_by_cpc.B23Q3/15713,209
counts_by_cpc.B23Q3/1572,61
counts_by_cpc.B23Q3/15722,108
counts_by_cpc.B23Q3/15724,76
counts_by_cpc.B23Q3/15726,1
counts_by_cpc.B23Q3/15733,14
counts_by_cpc.B23Q3/1574,47
counts_by_cpc.B23Q3/15746,11
counts_by_cpc.B23Q3/15753,2
counts_by_cpc.B23Q3/1576,7
counts_by_cpc.B23Q3/15766,73
counts_by_cpc.B23Q3/15773,73
counts_by_cpc.B23Q3/1578,25
counts_by_cpc.B23Q3/15786,16
counts_by_cpc.B23Q3/15793,6
counts_by_cpc.B23Q3/16,91
counts_by_cpc.B23Q3/18,974
counts_by_cpc.B23Q3/183,369
counts_by_cpc.B23Q3/186,262
counts_by_cpc.B23Q33/00,27
counts_by_cpc.B23Q35/00,1
counts_by_cpc.B23Q35/02,56
counts_by_cpc.B23Q35/04,87
counts_by_cpc.B23Q35/06,5
counts_by_cpc.B23Q35/08,3
counts_by_cpc.B23Q35/10,3
counts_by_cpc.B23Q35/102,37
counts_by_cpc.B23Q35/103,8
counts_by_cpc.B23Q35/104,8
counts_by_cpc.B23Q35/105,28
counts_by_cpc.B23Q35/106,1
counts_by_cpc.B23Q35/108,6
counts_by_cpc.B23Q35/109,1
counts_by_cpc.B23Q35/12,5
counts_by_cpc.B23Q35/121,9
counts_by_cpc.B23Q35/122,4
counts_by_cpc.B23Q35/123,11
counts_by_cpc.B23Q35/126,2
counts_by_cpc.B23Q35/127,29
counts_by_cpc.B23Q35/128,97
counts_by_cpc.B23Q35/129,1
counts_by_cpc.B23Q35/13,6
counts_by_cpc.B23Q35/14,1
counts_by_cpc.B23Q35/18,2
counts_by_cpc.B23Q35/20,4
counts_by_cpc.B23Q35/22,15
counts_by_cpc.B23Q35/24,2
counts_by_cpc.B23Q35/26,5
counts_by_cpc.B23Q35/32,2
counts_by_cpc.B23Q35/34,2
counts_by_cpc.B23Q35/36,1
counts_by_cpc.B23Q35/38,3
counts_by_cpc.B23Q35/40,1
counts_by_cpc.B23Q35/42,13
counts_by_cpc.B23Q35/44,5
counts_by_cpc.B23Q35/46,13
counts_by_cpc.B23Q35/48,2
counts_by_cpc.B23Q37/00,375
counts_by_cpc.B23Q37/002,5
counts_by_cpc.B23Q37/005,40
counts_by_cpc.B23Q37/007,70
counts_by_cpc.B23Q39/00,100
counts_by_cpc.B23Q39/02,82
counts_by_cpc.B23Q39/021,22
counts_by_cpc.B23Q39/022,22
counts_by_cpc.B23Q39/023,19
counts_by_cpc.B23Q39/024,74
counts_by_cpc.B23Q39/025,19
counts_by_cpc.B23Q39/026,63
counts_by_cpc.B23Q39/027,69
counts_by_cpc.B23Q39/028,100
counts_by_cpc.B23Q39/029,9
counts_by_cpc.B23Q39/04,101
counts_by_cpc.B23Q39/042,105
counts_by_cpc.B23Q39/044,49
counts_by_cpc.B23Q39/046,68
counts_by_cpc.B23Q39/048,73
counts_by_cpc.B23Q41/00,173
counts_by_cpc.B23Q41/02,481
counts_by_cpc.B23Q41/04,69
counts_by_cpc.B23Q41/06,91
counts_by_cpc.B23Q41/08,13
counts_by_cpc.B23Q5/00,90
counts_by_cpc.B23Q5/02,471
counts_by_cpc.B23Q5/027,19
counts_by_cpc.B23Q5/033,1
counts_by_cpc.B23Q5/04,71
counts_by_cpc.B23Q5/043,48
counts_by_cpc.B23Q5/045,50
counts_by_cpc.B23Q5/046,28
counts_by_cpc.B23Q5/048,7
counts_by_cpc.B23Q5/06,39
counts_by_cpc.B23Q5/08,4
counts_by_cpc.B23Q5/10,132
counts_by_cpc.B23Q5/12,48
counts_by_cpc.B23Q5/14,3
counts_by_cpc.B23Q5/142,36
counts_by_cpc.B23Q5/145,3
counts_by_cpc.B23Q5/162,1
counts_by_cpc.B23Q5/167,1
counts_by_cpc.B23Q5/18,2
counts_by_cpc.B23Q5/20,34
counts_by_cpc.B23Q5/22,176
counts_by_cpc.B23Q5/225,24
counts_by_cpc.B23Q5/26,124
counts_by_cpc.B23Q5/261,8
counts_by_cpc.B23Q5/263,4
counts_by_cpc.B23Q5/265,2
counts_by_cpc.B23Q5/266,7
counts_by_cpc.B23Q5/268,24
counts_by_cpc.B23Q5/28,268
counts_by_cpc.B23Q5/32,43
counts_by_cpc.B23Q5/323,3
counts_by_cpc.B23Q5/326,40
counts_by_cpc.B23Q5/34,170
counts_by_cpc.B23Q5/341,118
counts_by_cpc.B23Q5/344,4
counts_by_cpc.B23Q5/345,4
counts_by_cpc.B23Q5/347,6
counts_by_cpc.B23Q5/348,12
counts_by_cpc.B23Q5/36,28
counts_by_cpc.B23Q5/38,17
counts_by_cpc.B23Q5/385,113
counts_by_cpc.B23Q5/40,280
counts_by_cpc.B23Q5/402,26
counts_by_cpc.B23Q5/404,7
counts_by_cpc.B23Q5/406,4
counts_by_cpc.B23Q5/408,21
counts_by_cpc.B23Q5/42,2
counts_by_cpc.B23Q5/44,2
counts_by_cpc.B23Q5/46,3
counts_by_cpc.B23Q5/48,7
counts_by_cpc.B23Q5/50,20
counts_by_cpc.B23Q5/52,45
counts_by_cpc.B23Q5/54,30
counts_by_cpc.B23Q5/56,22
counts_by_cpc.B23Q5/58,112
counts_by_cpc.B23Q5/585,1
counts_by_cpc.B23Q7/00,1792
counts_by_cpc.B23Q7/001,281
counts_by_cpc.B23Q7/002,41
counts_by_cpc.B23Q7/003,448
counts_by_cpc.B23Q7/005,422
counts_by_cpc.B23Q7/006,82
counts_by_cpc.B23Q7/007,59
counts_by_cpc.B23Q7/008,211
counts_by_cpc.B23Q7/02,551
counts_by_cpc.B23Q7/03,361
counts_by_cpc.B23Q7/035,142
counts_by_cpc.B23Q7/04,3222
counts_by_cpc.B23Q7/041,79
counts_by_cpc.B23Q7/042,87
counts_by_cpc.B23Q7/043,1300
counts_by_cpc.B23Q7/045,150
counts_by_cpc.B23Q7/046,773
counts_by_cpc.B23Q7/047,335
counts_by_cpc.B23Q7/048,545
counts_by_cpc.B23Q7/05,219
counts_by_cpc.B23Q7/055,160
counts_by_cpc.B23Q7/06,285
counts_by_cpc.B23Q7/08,274
counts_by_cpc.B23Q7/10,641
counts_by_cpc.B23Q7/103,101
counts_by_cpc.B23Q7/106,102
counts_by_cpc.B23Q7/12,141
counts_by_cpc.B23Q7/14,688
counts_by_cpc.B23Q7/1405,161
counts_by_cpc.B23Q7/141,8
counts_by_cpc.B23Q7/1415,67
counts_by_cpc.B23Q7/1421,92
counts_by_cpc.B23Q7/1426,961
counts_by_cpc.B23Q7/1431,419
